login,deals_1_minute,paired_deals_30_sec
301365381,346,0
301294823,74,0
301173403,73,5
301327040,33,20
300715460,20,0
301326731,20,0
301260171,18,11
301235847,18,8
301370060,17,0
301360046,16,39
301357548,13,7
301173410,11,15
28084166,10,10
301306441,10,0
301349061,9,3
301310292,8,9
28121490,8,8
27789822,8,8
301360019,8,2
301295809,8,0
28163429,7,7
301249711,7,0
301366848,7,0
301099802,7,0
301370451,7,0
301365064,7,0
301364088,7,0
301366909,7,0
28095455,6,6
300859638,6,0
27323946,6,0
301323446,6,0
301335567,6,0
301340610,6,0
301287430,6,0
301364065,6,0
301368585,6,0
301323754,5,8
300791095,5,6
301337811,5,0
301362782,5,0
301368606,5,0
301339330,5,0
301029074,5,0
301346533,5,0
301030804,5,0
301303796,5,0
301361011,4,0
301335516,4,0
301172071,4,0
301042022,4,0
301346347,4,0
301365571,4,0
301353423,4,0
300083510,4,0
301348422,3,4
301352011,3,2
301323914,3,0
301368260,3,0
300045423,3,0
301369284,3,0
301348438,3,0
301349907,3,0
27431440,3,0
301343279,3,0
300787561,3,0
301314385,3,0
25367938,3,0
301293205,2,6
25324454,2,6
301356576,2,2
301016484,2,1
301057349,2,1
301249767,2,1
301258950,2,1
300809984,2,0
301257920,2,0
300945913,2,0
301348637,2,0
301339879,2,0
301294782,2,0
301255441,2,0
300790107,2,0
16251286,2,0
27174306,2,0
301332483,2,0
301042879,2,0
301063343,2,0
301112106,2,0
301310099,2,0
301367056,2,0
300854136,2,0
27456660,2,0
301359621,2,0
300130145,2,0
301025716,2,0
300808609,2,0
301034012,2,0
300122148,2,0
301216363,2,0
301368949,2,0
28078399,2,0
301278832,2,0
301369385,2,0
301024260,2,0
301347076,1,3
301225552,1,3
301342348,1,3
301114314,1,2
301346713,1,2
301272149,1,1
301216470,1,0
301358794,1,0
301294692,1,0
301099363,1,0
301062126,1,0
301362038,1,0
301293223,1,0
300514654,1,0
301227926,1,0
301348221,1,0
301366044,1,0
301340378,1,0
301361373,1,0
300735033,1,0
301338750,1,0
301323064,1,0
301224737,1,0
300773822,1,0
301345643,1,0
301358593,1,0
301353954,1,0
301236789,1,0
301307329,1,0
301361947,1,0
301361483,1,0
301361282,1,0
301344459,1,0
301360220,1,0
301362351,1,0
301256864,1,0
301367577,1,0
301345901,1,0
300225258,1,0
301240583,1,0
301209386,1,0
301338985,1,0
301320720,1,0
301237857,1,0
301364018,1,0
301360451,1,0
301355321,1,0
301323010,1,0
301079011,1,0
301008766,1,0
301277985,1,0
301202669,1,0
301222158,1,0
301340163,1,0
301277705,1,0
301316542,1,0
301297504,1,0
301280514,1,0
301129346,1,0
301368602,1,0
301246439,1,0
301362855,1,0
301292019,1,0
301253367,1,0
301256228,1,0
301332772,1,0
301311531,1,0
301347389,1,0
301018870,1,0
301341625,1,0
301069520,1,0
301342568,1,0
301309156,1,0
301365565,1,0
301057962,1,0
300381591,1,0
301069570,1,0
301171871,1,0
301329289,1,0
301121014,1,0
301071467,1,0
300852650,1,0
26705260,1,0
28130939,1,0
26728801,1,0
16243245,1,0
26672787,1,0
15852997,1,0
24452787,1,0
24116135,1,0
27212754,1,0
28127019,1,0
18548786,1,0
25590328,1,0
27579012,1,0
24683812,1,0
25612330,1,0
23194882,1,0
27323110,1,0
27839674,1,0
13140198,1,0
27420510,1,0
28116163,1,0
20260035,1,0
25376906,1,0
301173401,0,10
301296485,0,10
301230011,0,8
301355283,0,8
301173414,0,8
301339140,0,6
301325641,0,6
301359277,0,5
300884487,0,5
17771399,0,4
301220059,0,4
301332665,0,4
301295792,0,4
301186007,0,2
301186074,0,2
301339847,0,2
301186008,0,2
301317184,0,2
301186051,0,2
301347119,0,2
25412141,0,2
301254490,0,2
301335645,0,2
301186067,0,2
301186069,0,2
301070307,0,2
301340449,0,1
301339517,0,1
301363923,0,1
27946734,0,1
301297275,0,1
301293592,0,1
301291879,0,1
301250859,0,1
28074060,0,1
301209588,0,1
26051455,0,1
28109082,0,1
301111413,0,1
28113275,0,1
24768331,0,1
301097959,0,1
301033152,0,1
26696150,0,1
21498160,0,1
300637161,0,1
300410761,0,1
301367972,0,1
300046187,0,1
301365954,0,1
301357394,0,1
301358880,0,1
301361204,0,1
301355794,0,1
301353926,0,1
301341988,0,1
